.53,.42,.135,.677,.2565,.1415,.21,9,2
.53,.415,.15,.7775,.237,.1415,.33,20,2
.545,.425,.125,.768,.294,.1495,.26,16,2
.55,.44,.15,.8945,.3145,.151,.32,19,2
.525,.38,.14,.6065,.194,.1475,.21,14,2
.535,.405,.145,.6845,.2725,.171,.205,10,2
.47,.355,.1,.4755,.1675,.0805,.185,10,2
.44,.34,.1,.451,.188,.087,.13,10,2
.565,.44,.155,.9395,.4275,.214,.27,12,2
.55,.415,.135,.7635,.318,.21,.2,9,2
.615,.48,.165,1.1615,.513,.301,.305,10,2
.56,.44,.14,.9285,.3825,.188,.3,11,2
.58,.45,.185,.9955,.3945,.272,.285,11,2
.68,.56,.165,1.639,.6055,.2805,.46,15,2
.68,.55,.175,1.798,.815,.3925,.455,19,2
.705,.55,.2,1.7095,.633,.4115,.49,13,2
.54,.475,.155,1.217,.5305,.3075,.34,16,2
.45,.355,.105,.5225,.237,.1165,.145,8,2
.575,.445,.135,.883,.381,.2035,.26,11,2
.45,.335,.105,.425,.1865,.091,.115,9,2
.55,.425,.135,.8515,.362,.196,.27,14,2
.46,.375,.12,.4605,.1775,.11,.15,7,2
.525,.425,.16,.8355,.3545,.2135,.245,9,2
.47,.36,.12,.4775,.2105,.1055,.15,10,2
.5,.4,.14,.6615,.2565,.1755,.22,8,2
.505,.4,.125,.583,.246,.13,.175,7,2
.53,.41,.13,.6965,.302,.1935,.2,10,2
.565,.44,.16,.915,.354,.1935,.32,12,2
.595,.495,.185,1.285,.416,.224,.485,13,2
.475,.39,.12,.5305,.2135,.1155,.17,10,2
.4,.32,.11,.353,.1405,.0985,.1,8,2
.595,.475,.17,1.247,.48,.225,.425,20,2
.605,.45,.195,1.098,.481,.2895,.315,13,2
.6,.475,.15,1.0075,.4425,.221,.28,15,2
.6,.47,.15,.922,.363,.194,.305,10,2
.555,.425,.14,.788,.282,.1595,.285,11,2
.615,.475,.17,1.1025,.4695,.2355,.345,14,2
.575,.445,.14,.941,.3845,.252,.285,9,2
.52,.425,.165,.9885,.396,.225,.32,16,2
.57,.465,.18,1.295,.339,.2225,.44,12,2
.46,.355,.13,.517,.2205,.114,.165,9,2
