.455,.365,.095,.514,.2245,.101,.15,15,1
.35,.265,.09,.2255,.0995,.0485,.07,7,1
.44,.365,.125,.516,.2155,.114,.155,10,1
.475,.37,.125,.5095,.2165,.1125,.165,9,1
.43,.35,.11,.406,.1675,.081,.135,10,1
.49,.38,.135,.5415,.2175,.095,.19,11,1
.5,.4,.13,.6645,.258,.133,.24,12,1
.365,.295,.08,.2555,.097,.043,.1,7,1
.45,.32,.1,.381,.1705,.075,.115,9,1
.355,.28,.095,.2455,.0955,.062,.075,11,1
.59,.445,.14,.931,.356,.234,.28,12,1
.605,.475,.18,.9365,.394,.219,.295,15,1
.575,.425,.14,.8635,.393,.227,.2,11,1
.58,.47,.165,.9975,.3935,.242,.33,10,1
.665,.525,.165,1.338,.5515,.3575,.35,18,1
.465,.355,.105,.4795,.227,.124,.125,8,1
.355,.29,.09,.3275,.134,.086,.09,9,1
.47,.37,.12,.5795,.293,.227,.14,9,1
.4,.32,.095,.303,.1335,.06,.1,7,1
.485,.36,.13,.5415,.2595,.096,.16,10,1
.405,.31,.1,.385,.173,.0915,.11,7,1
.445,.35,.12,.4425,.192,.0955,.135,8,1
.47,.385,.135,.5895,.2765,.12,.17,8,1
.45,.345,.105,.4115,.18,.1125,.135,7,1
.505,.405,.11,.625,.305,.16,.175,9,1
.425,.325,.095,.3785,.1705,.08,.1,7,1
.52,.4,.12,.58,.234,.1315,.185,8,1
.475,.355,.12,.48,.234,.1015,.135,8,1
.555,.425,.13,.7665,.264,.168,.275,13,1
.57,.48,.175,1.185,.474,.261,.38,11,1
.595,.475,.14,.944,.3625,.189,.315,9,1
.62,.51,.175,1.615,.5105,.192,.675,12,1
.595,.475,.16,1.3175,.408,.234,.58,21,1
.58,.45,.14,1.013,.38,.216,.36,14,1
.625,.465,.14,1.195,.4825,.205,.4,13,1
.56,.44,.16,.8645,.3305,.2075,.26,10,1
.565,.425,.135,.8115,.341,.1675,.255,15,1
.555,.44,.15,.755,.307,.1525,.26,12,1
.595,.465,.175,1.115,.4015,.254,.39,13,1
.695,.56,.19,1.494,.588,.3425,.485,15,1
.665,.535,.195,1.606,.5755,.388,.48,14,1
.535,.435,.15,.725,.269,.1385,.25,9,1
.47,.375,.13,.523,.214,.132,.145,8,1
.47,.37,.13,.5225,.201,.133,.165,7,1
.55,.435,.145,.843,.328,.1915,.255,15,1
.53,.435,.16,.883,.316,.164,.335,15,1
.53,.415,.14,.724,.3105,.1675,.205,10,1
.605,.47,.16,1.1735,.4975,.2405,.345,12,1
.495,.395,.125,.5415,.2375,.1345,.155,9,1
.465,.36,.105,.431,.172,.107,.175,9,1
.425,.35,.105,.393,.13,.063,.165,9,1
.44,.34,.105,.402,.1305,.0955,.165,10,1
.405,.305,.085,.2605,.1145,.0595,.085,8,1
.37,.265,.075,.214,.09,.051,.07,6,1
.7,.535,.16,1.7255,.63,.2635,.54,19,1
.71,.54,.165,1.959,.7665,.261,.78,18,1
.595,.48,.165,1.262,.4835,.283,.41,17,1
.345,.255,.09,.2005,.094,.0295,.063,9,1
.375,.285,.095,.253,.096,.0575,.0925,9,1
.65,.52,.19,1.3445,.519,.306,.4465,16,1
.56,.455,.155,.797,.34,.19,.2425,11,1
.475,.375,.13,.5175,.2075,.1165,.17,10,1
.46,.35,.12,.515,.224,.108,.1565,10,1
.59,.475,.145,1.053,.4415,.262,.325,15,1
