33,3,3,6,1,1,3,4,0,2
46,4,3,5,1,1,1,4,0,2
35,4,4,4,1,1,1,4,0,2
26,4,4,2,1,0,1,4,0,2
36,3,3,5,1,0,1,3,0,2
37,3,4,3,1,1,1,3,0,2
44,2,4,4,1,1,3,3,0,2
32,4,4,2,1,1,1,4,0,2
25,2,4,6,1,1,3,4,0,2
42,2,3,7,1,1,3,4,0,2
30,4,4,2,0,0,1,4,0,2
39,4,4,4,1,1,1,4,0,2
26,1,1,2,1,1,3,4,0,2
30,2,4,3,1,1,3,4,0,2
38,4,4,4,0,0,1,2,0,2
23,4,4,1,1,1,1,2,0,2
18,3,4,1,1,1,3,4,0,2
25,3,4,3,1,1,2,3,0,2
37,4,4,2,1,0,3,3,0,2
20,3,4,1,1,1,3,2,0,2
45,4,4,7,1,1,1,4,0,2
28,2,1,2,1,0,3,3,0,2
33,2,2,3,1,1,2,3,0,2
28,2,3,2,1,1,3,3,0,2
30,2,4,1,1,0,3,4,0,2
32,4,4,4,1,1,2,4,0,2
48,4,3,7,1,0,2,4,0,2
46,4,4,2,1,0,1,4,0,2
32,4,4,2,0,0,1,4,0,2
49,4,4,10,1,1,1,4,0,2
33,2,2,6,1,0,3,4,0,2
39,4,4,3,1,1,1,4,0,2
35,4,4,5,0,0,1,4,0,2
36,4,4,3,0,1,1,3,0,2
20,3,4,1,1,1,2,4,0,2
23,4,4,1,1,1,3,4,0,2
26,2,4,2,1,1,1,3,0,2
25,3,3,1,1,1,3,1,0,2
31,4,4,1,1,1,1,4,0,2
36,4,4,2,1,1,2,4,0,2
32,3,3,2,1,0,3,4,0,2
36,4,4,3,1,1,1,4,0,2
40,4,4,3,1,1,1,4,0,2
46,4,4,4,1,1,1,4,0,2
42,4,4,8,0,1,1,4,0,2
39,4,4,4,1,0,1,4,0,2
34,4,4,2,1,1,1,4,0,2
36,4,4,3,1,1,1,4,0,2
37,4,4,3,1,1,1,4,0,2
36,4,4,4,0,1,1,4,0,2
38,4,4,2,1,1,1,4,0,2
27,3,3,1,0,0,2,4,0,2
37,4,3,8,1,1,1,4,0,2
24,1,4,1,1,0,4,2,1,2
42,2,4,8,1,1,1,4,0,2
31,4,4,3,0,0,4,4,0,2
34,2,3,2,1,1,3,3,0,2
34,4,4,4,1,1,3,3,0,2
36,4,4,4,0,0,1,4,0,2
47,4,4,8,1,1,1,4,0,2
34,4,4,3,1,1,1,4,0,2
